sin,(s|i|n),9667
tre,(tr|e),9465
kontraŭ,(k|o|n)-(tr|a|ŭ),9293
havas,(h|a)-(v|a|s),9256
ĝis,(ĝ|i|s),8888
kiun,(k|i)-(∅|u|n),8823
lin,(l|i|n),8791
tamen,(t|a)-(m|e|n),8705
jaroj,(j|a)-(r|o|j),7851
do,(d|o),7475
je,(j|e),7465
aliaj,(∅|a)-(l|i)-(∅|a|j),7447
ilin,(∅|i)-(l|i|n),7446
tion,(t|i)-(∅|o|n),7265
tie,(t|i)-(∅|e),7172
min,(m|i|n),7085
lingvo,(l|i|n)-(gv|o),6844
tiun,(t|i)-(∅|u|n),6825
tiam,(t|i)-(∅|a|m),6731
eternulo,(∅|e)-(t|e|r)-(n|u)-(l|o),6717
mem,(m|e|m),6688
kio,(k|i)-(∅|o),6674
via,(v|i)-(∅|a),6586
granda,(gr|a|n)-(d|a),6417
nia,(n|i)-(∅|a),6363
esti,(∅|e|s)-(t|i),6329
devas,(d|e)-(v|a|s),6263
tute,(t|u)-(t|e),6087
ankoraŭ,(∅|a|n)-(k|o)-(r|a|ŭ),6062
kion,(k|i)-(∅|o|n),6025
kie,(k|i)-(∅|e),5954
siaj,(s|i)-(∅|a|j),5731
estos,(∅|e|s)-(t|o|s),5731
poste,(p|o|s)-(t|e),5686
multaj,(m|u|l)-(t|a|j),5627
vin,(v|i|n),5581
ja,(j|a),5535
homoj,(h|o)-(m|o|j),5502
sen,(s|e|n),5440
ĉiu,(ĉ|i)-(∅|u),5403
alia,(∅|a)-(l|i)-(∅|a),5389
mondo,(m|o|n)-(d|o),5316
unua,(∅|u)-(n|u)-(∅|a),5293
jen,(j|e|n),5291
lando,(l|a|n)-(d|o),5241
siajn,(s|i)-(∅|a|jn),5170
inter_nacia,(∅|i|n)-(t|e|r)-(n|a)-(c|i)-(∅|a),5121
iom,(∅|i)-(∅|o|m),5052
nova,(n|o)-(v|a),5023
tuta,(t|u)-(t|a),4948
prezidanto,(pr|e)-(z|i)-(d|a|n)-(t|o),4944
dio,(d|i)-(∅|o),4923
tempo,(t|e|m)-(p|o),4640
kiujn,(k|i)-(∅|u|jn),4635
kelkaj,(k|e|l)-(k|a|j),4615
ĉiam,(ĉ|i)-(∅|a|m),4588
eble,(∅|e|b)-(l|e),4553
landoj,(l|a|n)-(d|o|j),4551
bone,(b|o)-(n|e),4470
faris,(f|a)-(r|i|s),4456
sub,(s|u|b),4392
tri,(tr|i),4366
okazis,(∅|o)-(k|a)-(z|i|s),4290
havis,(h|a)-(v|i|s),4259
diras,(d|i)-(r|a|s),4150
kies,(k|i)-(∅|e|s),4024
estus,(∅|e|s)-(t|u|s),3987
vivo,(v|i)-(v|o),3984
ĝia,(ĝ|i)-(∅|a),3938
multe,(m|u|l)-(t|e),3915
volas,(v|o)-(l|a|s),3898
scias,(sc|i)-(∅|a|s),3864
venis,(v|e)-(n|i|s),3834
nek,(n|e|k),3821
aperis,(∅|a)-(p|e)-(r|i|s),3776
plu,(pl|u),3756
tuj,(t|u|j),3754
usono,(∅|u)-(s|o)-(n|o),3716
povus,(p|o)-(v|u|s),3698
povis,(p|o)-(v|i|s),3673
si,(s|i),3664
iu,(∅|i)-(∅|u),3632
jaro,(j|a)-(r|o),3624
ilia,(∅|i)-(l|i)-(∅|a),3612
kvankam,(kv|a|n)-(k|a|m),3603
fine,(f|i)-(n|e),3602
urbo,(∅|u|r)-(b|o),3598
preskaŭ,(pr|e|s)-(k|a|ŭ),3539
same,(s|a)-(m|e),3528
sinjoro,(s|i|n)-(j|o)-(r|o),3485
liaj,(l|i)-(∅|a|j),3462
neniu,(n|e)-(n|i)-(∅|u),3413
fari,(f|a)-(r|i),3409
ĉio,(ĉ|i)-(∅|o),3388
kvazaŭ,(kv|a)-(z|a|ŭ),3378
ofte,(∅|o|f)-(t|e),3374
neniam,(n|e)-(n|i)-(∅|a|m),3329
mal_pli,(m|a|l)-(pl|i),3298
eŭropa,(∅|e|ŭ)-(r|o)-(p|a),3272
tra,(tr|a),3270
homo,(h|o)-(m|o),3267
domo,(d|o)-(m|o),3252
mian,(m|i)-(∅|a|n),3241
ek_de,(∅|e|k)-(d|e),3203
reĝo,(r|e)-(ĝ|o),3189
ekzemple,(∅|e|k)-(z|e|m)-(pl|e),3187
ŝin,(ŝ|i|n),3176
estu,(∅|e|s)-(t|u),3077
tia,(t|i)-(∅|a),3075
ŝia,(ŝ|i)-(∅|a),3073
movado,(m|o)-(v|a)-(d|o),3060
popolo,(p|o)-(p|o)-(l|o),3031
dek,(d|e|k),2942
tiom,(t|i)-(∅|o|m),2926
ekzistas,(∅|e|k)-(z|i|s)-(t|a|s),2925
tro,(tr|o),2899
bona,(b|o)-(n|a),2894
vidis,(v|i)-(d|i|s),2892
filo,(f|i)-(l|o),2877
ĉiujn,(ĉ|i)-(∅|u|jn),2868
registaro,(r|e)-(g|i|s)-(t|a)-(r|o),2844
tago,(t|a)-(g|o),2798
iliaj,(∅|i)-(l|i)-(∅|a|j),2792
ho,(h|o),2780
dua,(d|u)-(∅|a),2773
esperantistoj,(∅|e|s)-(p|e)-(r|a|n)-(t|i|s)-(t|o|j),2773
tial,(t|i)-(∅|a|l),2766
fariĝis,(f|a)-(r|i)-(ĝ|i|s),2761
vere,(v|e)-(r|e),2733
lingvoj,(l|i|n)-(gv|o|j),2731
kial,(k|i)-(∅|a|l),2728
diversaj,(d|i)-(v|e|r)-(s|a|j),2725
nin,(n|i|n),2714
kongreso,(k|o|n)-(gr|e)-(s|o),2679
asocio,(∅|a)-(s|o)-(c|i)-(∅|o),2653
franca,(fr|a|n)-(c|a),2647
ajn,(∅|a|jn),2626
eŭropo,(∅|e|ŭ)-(r|o)-(p|o),2574
niaj,(n|i)-(∅|a|j),2505
komencis,(k|o)-(m|e|n)-(c|i|s),2505
lian,(l|i)-(∅|a|n),2498
usona,(∅|u)-(s|o)-(n|a),2492
patro,(p|a|t)-(r|o),2483
vian,(v|i)-(∅|a|n),2476
respondis,(r|e|s)-(p|o|n)-(d|i|s),2470
afero,(∅|a)-(f|e)-(r|o),2453
parto,(p|a|r)-(t|o),2453
ricevis,(r|i)-(c|e)-(v|i|s),2427
viaj,(v|i)-(∅|a|j),2426
ŝtato,(ŝt|a)-(t|o),2414
milito,(m|i)-(l|i)-(t|o),2388
laboro,(l|a)-(b|o)-(r|o),2382
sama,(s|a)-(m|a),2357
certe,(c|e|r)-(t|e),2355
tiujn,(t|i)-(∅|u|jn),2316
ĉirkaŭ,(ĉ|i|r)-(k|a|ŭ),2295
vortoj,(v|o|r)-(t|o|j),2281
nomo,(n|o)-(m|o),2276
donis,(d|o)-(n|i|s),2275
jes,(j|e|s),2260
hodiaŭ,(h|o)-(d|i)-(∅|a|ŭ),2229
apud,(∅|a)-(p|u|d),2223
partio,(p|a|r)-(t|i)-(∅|o),2222
super,(s|u)-(p|e|r),2218
libro,(l|i|b)-(r|o),2215
iris,(∅|i)-(r|i|s),2208
grandaj,(gr|a|n)-(d|a|j),2205
pluraj,(pl|u)-(r|a|j),2198
kvin,(kv|i|n),2188
ambaŭ,(∅|a|m)-(b|a|ŭ),2159
faras,(f|a)-(r|a|s),2148
mil,(m|i|l),2132
temas,(t|e)-(m|a|s),2126
miaj,(m|i)-(∅|a|j),2122
kune,(k|u)-(n|e),2109
tero,(t|e)-(r|o),2108
ĝiaj,(ĝ|i)-(∅|a|j),2104
sola,(s|o)-(l|a),2101
kvar,(kv|a|r),2099
antaŭe,(∅|a|n)-(t|a|ŭ)-(∅|e),2098
sufiĉe,(s|u)-(f|i)-(ĉ|e),2063
precipe,(pr|e)-(c|i)-(p|e),2057
grandan,(gr|a|n)-(d|a|n),2052
krom,(kr|o|m),2043
denove,(d|e)-(n|o)-(v|e),2038
historio,(h|i|s)-(t|o)-(r|i)-(∅|o),2028
lasta,(l|a|s)-(t|a),2020
ĝuste,(ĝ|u|s)-(t|e),2015
troviĝas,(tr|o)-(v|i)-(ĝ|a|s),2011
devis,(d|e)-(v|i|s),2010
diri,(d|i)-(r|i),2006
membroj,(m|e|m)-(br|o|j),2005
ĝenerala,(ĝ|e)-(n|e)-(r|a)-(l|a),2000
restas,(r|e|s)-(t|a|s),1996
politika,(p|o)-(l|i)-(t|i)-(k|a),1994
aferoj,(∅|a)-(f|e)-(r|o|j),1990
ĉion,(ĉ|i)-(∅|o|n),1988
nacia,(n|a)-(c|i)-(∅|a),1982
monato,(m|o)-(n|a)-(t|o),1971
ion,(∅|i)-(∅|o|n),1965
kelkajn,(k|e|l)-(k|a|jn),1964
demandis,(d|e)-(m|a|n)-(d|i|s),1952
ties,(t|i)-(∅|e|s),1945
okuloj,(∅|o)-(k|u)-(l|o|j),1925
politiko,(p|o)-(l|i)-(t|i)-(k|o),1907
unio,(∅|u)-(n|i)-(∅|o),1901
sam_tempe,(s|a|m)-(t|e|m)-(p|e),1899
parolis,(p|a)-(r|o)-(l|i|s),1875
ŝajnas,(ŝ|a|j)-(n|a|s),1875
momento,(m|o)-(m|e|n)-(t|o),1873
alian,(∅|a)-(l|i)-(∅|a|n),1872
iam,(∅|i)-(∅|a|m),1870
novaj,(n|o)-(v|a|j),1866
grupo,(gr|u)-(p|o),1861
rapide,(r|a)-(p|i)-(d|e),1859
infanoj,(∅|i|n)-(f|a)-(n|o|j),1857
revuo,(r|e)-(v|u)-(∅|o),1846
tutan,(t|u)-(t|a|n),1840
vorto,(v|o|r)-(t|o),1828
volis,(v|o)-(l|i|s),1824
kiom,(k|i)-(∅|o|m),1820
angla,(∅|a|n)-(gl|a),1818
novan,(n|o)-(v|a|n),1786
almenaŭ,(∅|a|l)-(m|e)-(n|a|ŭ),1774
grava,(gr|a)-(v|a),1772
francio,(fr|a|n)-(c|i)-(∅|o),1763
trovis,(tr|o)-(v|i|s),1749
loko,(l|o)-(k|o),1715
jarojn,(j|a)-(r|o|jn),1714
lingvon,(l|i|n)-(gv|o|n),1708
cetere,(c|e)-(t|e)-(r|e),1703
aparte,(∅|a)-(p|a|r)-(t|e),1691
nu,(n|u),1691
nenion,(n|e)-(n|i)-(∅|o|n),1690
koro,(k|o)-(r|o),1688
malgraŭ,(m|a|l)-(gr|a|ŭ),1679
tagoj,(t|a)-(g|o|j),1674
unue,(∅|u)-(n|u)-(∅|e),1672
vidas,(v|i)-(d|a|s),1671
efektive,(∅|e)-(f|e|k)-(t|i)-(v|e),1664
foje,(f|o)-(j|e),1640
ĉefe,(ĉ|e)-(f|e),1630
esperanta,(∅|e|s)-(p|e)-(r|a|n)-(t|a),1602
zamenhof,(z|a)-(m|e|n)-(h|o|f),1602
restis,(r|e|s)-(t|i|s),1594
fakte,(f|a|k)-(t|e),1592
universitato,(∅|u)-(n|i)-(v|e|r)-(s|i)-(t|a)-(t|o),1587
agado,(∅|a)-(g|a)-(d|o),1586
parolas,(p|a)-(r|o)-(l|a|s),1569
aŭdis,(∅|a|ŭ)-(d|i|s),1567
anstataŭ,(∅|a|n)-(st|a)-(t|a|ŭ),1555
krome,(kr|o)-(m|e),1553
esperanton,(∅|e|s)-(p|e)-(r|a|n)-(t|o|n),1552
milionoj,(m|i)-(l|i)-(∅|o)-(n|o|j),1548
decidis,(d|e)-(c|i)-(d|i|s),1546
personoj,(p|e|r)-(s|o)-(n|o|j),1541
okazas,(∅|o)-(k|a)-(z|a|s),1541
necesas,(n|e)-(c|e)-(s|a|s),1541
nombro,(n|o|m)-(br|o),1536
juna,(j|u)-(n|a),1535
iuj,(∅|i)-(∅|u|j),1519
ino,(∅|i)-(n|o),1514
fino,(f|i)-(n|o),1513
tiaj,(t|i)-(∅|a|j),1505
virino,(v|i)-(r|i)-(n|o),1496
celo,(c|e)-(l|o),1492
longe,(l|o|n)-(g|e),1487
povos,(p|o)-(v|o|s),1486
donas,(d|o)-(n|a|s),1483
kompreneble,(k|o|m)-(pr|e)-(n|e|b)-(l|e),1479
kulturo,(k|u|l)-(t|u)-(r|o),1476
ekonomia,(∅|e)-(k|o)-(n|o)-(m|i)-(∅|a),1474
dudek,(d|u)-(d|e|k),1472
vojo,(v|o)-(j|o),1470
patrino,(p|a|t)-(r|i)-(n|o),1467
virinoj,(v|i)-(r|i)-(n|o|j),1459
io,(∅|i)-(∅|o),1447
mal_granda,(m|a|l)-(gr|a|n)-(d|a),1442
sciis,(sc|i)-(∅|i|s),1442
kia,(k|i)-(∅|a),1441
regiono,(r|e)-(g|i)-(∅|o)-(n|o),1435
temo,(t|e)-(m|o),1426
signifas,(s|i|g)-(n|i)-(f|a|s),1426
multajn,(m|u|l)-(t|a|jn),1425
rigardis,(r|i)-(g|a|r)-(d|i|s),1425
projekto,(pr|o)-(j|e|k)-(t|o),1419
baldaŭ,(b|a|l)-(d|a|ŭ),1411
monda,(m|o|n)-(d|a),1404
jar_cento,(j|a|r)-(c|e|n)-(t|o),1402
eŭroj,(∅|e|ŭ)-(r|o|j),1398
ĉefa,(ĉ|e)-(f|a),1398
nian,(n|i)-(∅|a|n),1397
germana,(g|e|r)-(m|a)-(n|a),1394
vortojn,(v|o|r)-(t|o|jn),1392
konas,(k|o)-(n|a|s),1385
morto,(m|o|r)-(t|o),1381
bezonas,(b|e)-(z|o)-(n|a|s),1381
sukcesis,(s|u|k)-(c|e)-(s|i|s),1379
inter_naciaj,(∅|i|n)-(t|e|r)-(n|a)-(c|i)-(∅|a|j),1375
montras,(m|o|n)-(tr|a|s),1373
prenis,(pr|e)-(n|i|s),1368
demando,(d|e)-(m|a|n)-(d|o),1366
bela,(b|e)-(l|a),1365
venas,(v|e)-(n|a|s),1364
programo,(pr|o|g)-(r|a)-(m|o),1359
partoprenis,(p|a|r)-(t|o|p)-(r|e)-(n|i|s),1356
nacioj,(n|a)-(c|i)-(∅|o|j),1354
fare,(f|a)-(r|e),1353
alta,(∅|a|l)-(t|a),1352
devus,(d|e)-(v|u|s),1352
aŭtoro,(∅|a|ŭ)-(t|o)-(r|o),1350
ver_ŝajne,(v|e|r)-(ŝ|a|j)-(n|e),1350
mano,(m|a)-(n|o),1349
longa,(l|o|n)-(g|a),1348
lingva,(l|i|n)-(gv|a),1348
ia,(∅|i)-(∅|a),1348
sistemo,(s|i|s)-(t|e)-(m|o),1346
daŭre,(d|a|ŭ)-(r|e),1345
paroli,(p|a)-(r|o)-(l|i),1342
situacio,(s|i)-(t|u)-(∅|a)-(c|i)-(∅|o),1335
nuna,(n|u)-(n|a),1329
ĵus,(ĵ|u|s),1324
facile,(f|a)-(c|i)-(l|e),1317
ideo,(∅|i)-(d|e)-(∅|o),1316
subite,(s|u)-(b|i)-(t|e),1315
apenaŭ,(∅|a)-(p|e)-(n|a|ŭ),1315
nomon,(n|o)-(m|o|n),1304
socia,(s|o)-(c|i)-(∅|a),1293
rilate,(r|i)-(l|a)-(t|e),1293
sep,(s|e|p),1293
propra,(pr|o|p)-(r|a),1288
prezentis,(pr|e)-(z|e|n)-(t|i|s),1285
vidi,(v|i)-(d|i),1284
jara,(j|a)-(r|a),1283
komisiono,(k|o)-(m|i)-(s|i)-(∅|o)-(n|o),1280
deziras,(d|e)-(z|i)-(r|a|s),1280
viro,(v|i)-(r|o),1279
verko,(v|e|r)-(k|o),1278
mono,(m|o)-(n|o),1274
germanio,(g|e|r)-(m|a)-(n|i)-(∅|o),1272
vera,(v|e)-(r|a),1272
rilatoj,(r|i)-(l|a)-(t|o|j),1271
ĉinio,(ĉ|i)-(n|i)-(∅|o),1258
komitato,(k|o)-(m|i)-(t|a)-(t|o),1258
centro,(c|e|n)-(tr|o),1257
estraro,(∅|e|s)-(tr|a)-(r|o),1255
akvo,(∅|a|k)-(v|o),1246
sekve,(s|e|k)-(v|e),1245
aliajn,(∅|a)-(l|i)-(∅|a|jn),1244
publika,(p|u|b)-(l|i)-(k|a),1244
eblas,(∅|e|b)-(l|a|s),1241
septembro,(s|e|p)-(t|e|m)-(br|o),1239
vivon,(v|i)-(v|o|n),1238
artikolo,(∅|a|r)-(t|i)-(k|o)-(l|o),1231
unuan,(∅|u)-(n|u)-(∅|a|n),1231
ekonomio,(∅|e)-(k|o)-(n|o)-(m|i)-(∅|o),1230
lastaj,(l|a|s)-(t|a|j),1229
doni,(d|o)-(n|i),1227
uzi,(∅|u)-(z|i),1226
nenio,(n|e)-(n|i)-(∅|o),1223
tria,(tr|i)-(∅|a),1213
armeo,(∅|a|r)-(m|e)-(∅|o),1210
politikaj,(p|o)-(l|i)-(t|i)-(k|a|j),1208
dirante,(d|i)-(r|a|n)-(t|e),1208
rusa,(r|u)-(s|a),1206
ses,(s|e|s),1206
konata,(k|o)-(n|a)-(t|a),1205
nome,(n|o)-(m|e),1204
montris,(m|o|n)-(tr|i|s),1203
marto,(m|a|r)-(t|o),1202
ŝtatoj,(ŝt|a)-(t|o|j),1202
direktoro,(d|i)-(r|e|k)-(t|o)-(r|o),1201
havi,(h|a)-(v|i),1201
mortis,(m|o|r)-(t|i|s),1201
plena,(pl|e)-(n|a),1199
edzino,(∅|e|d)-(z|i)-(n|o),1198
socio,(s|o)-(c|i)-(∅|o),1198
afriko,(∅|a|f)-(r|i)-(k|o),1197
pensis,(p|e|n)-(s|i|s),1196
familio,(f|a)-(m|i)-(l|i)-(∅|o),1192
aperas,(∅|a)-(p|e)-(r|a|s),1184
decembro,(d|e)-(c|e|m)-(br|o),1181
membro,(m|e|m)-(br|o),1176
tian,(t|i)-(∅|a|n),1164
esperantisto,(∅|e|s)-(p|e)-(r|a|n)-(t|i|s)-(t|o),1162
staris,(st|a)-(r|i|s),1158
ĉina,(ĉ|i)-(n|a),1154
sendis,(s|e|n)-(d|i|s),1154
ekster,(∅|e|k)-(st|e|r),1154
for,(f|o|r),1148
sankta,(s|a|n)-(kt|a),1141
dolaroj,(d|o)-(l|a)-(r|o|j),1140
filoj,(f|i)-(l|o|j),1138
tagon,(t|a)-(g|o|n),1138
ĝian,(ĝ|i)-(∅|a|n),1138
vizaĝo,(v|i)-(z|a)-(ĝ|o),1137
viajn,(v|i)-(∅|a|jn),1137
centra,(c|e|n)-(tr|a),1137
problemo,(pr|o|b)-(l|e)-(m|o),1136
eŭropaj,(∅|e|ŭ)-(r|o)-(p|a|j),1136
loĝantaro,(l|o)-(ĝ|a|n)-(t|a)-(r|o),1134
komence,(k|o)-(m|e|n)-(c|e),1134
entreprenoj,(∅|e|n)-(tr|e|p)-(r|e)-(n|o|j),1129
manoj,(m|a)-(n|o|j),1127
leĝo,(l|e)-(ĝ|o),1127
libroj,(l|i|b)-(r|o|j),1126
forte,(f|o|r)-(t|e),1126
uzas,(∅|u)-(z|a|s),1125
kapon,(k|a)-(p|o|n),1118
voĉo,(v|o)-(ĉ|o),1118
urboj,(∅|u|r)-(b|o|j),1117
manon,(m|a)-(n|o|n),1115
ŝajnis,(ŝ|a|j)-(n|i|s),1114
sekvis,(s|e|k)-(v|i|s),1111
trovi,(tr|o)-(v|i),1109
klarigas,(kl|a)-(r|i)-(g|a|s),1104
unuaj,(∅|u)-(n|u)-(∅|a|j),1101
januaro,(j|a)-(n|u)-(∅|a)-(r|o),1100
julio,(j|u)-(l|i)-(∅|o),1098
loĝantoj,(l|o)-(ĝ|a|n)-(t|o|j),1096
bonan,(b|o)-(n|a|n),1095
nepre,(n|e|p)-(r|e),1093
usonaj,(∅|u)-(s|o)-(n|a|j),1092
potenco,(p|o)-(t|e|n)-(c|o),1091
iru,(∅|i)-(r|u),1090
landon,(l|a|n)-(d|o|n),1089
moderna,(m|o)-(d|e|r)-(n|a),1089
krizo,(kr|i)-(z|o),1088
komenco,(k|o)-(m|e|n)-(c|o),1088
viroj,(v|i)-(r|o|j),1084
domon,(d|o)-(m|o|n),1084
des,(d|e|s),1082
klare,(kl|a)-(r|e),1080
ilian,(∅|i)-(l|i)-(∅|a|n),1076
laboron,(l|a)-(b|o)-(r|o|n),1073
ĉielo,(ĉ|i)-(∅|e)-(l|o),1072
paco,(p|a)-(c|o),1071
iri,(∅|i)-(r|i),1070
maniero,(m|a)-(n|i)-(∅|e)-(r|o),1068
homojn,(h|o)-(m|o|jn),1068
popoloj,(p|o)-(p|o)-(l|o|j),1065
majo,(m|a)-(j|o),1065
lokon,(l|o)-(k|o|n),1064
novembro,(n|o)-(v|e|m)-(br|o),1064
tien,(t|i)-(∅|e|n),1064
iras,(∅|i)-(r|a|s),1063
okaze,(∅|o)-(k|a)-(z|e),1058
komunumo,(k|o)-(m|u)-(n|u)-(m|o),1057
rajtoj,(r|a|j)-(t|o|j),1055
gravaj,(gr|a)-(v|a|j),1054
kapo,(k|a)-(p|o),1052
verkoj,(v|e|r)-(k|o|j),1052
universala,(∅|u)-(n|i)-(v|e|r)-(s|a)-(l|a),1049
amo,(∅|a)-(m|o),1047
formo,(f|o|r)-(m|o),1047
komprenas,(k|o|m)-(pr|e)-(n|a|s),1045
oktobro,(∅|o|k)-(t|o|b)-(r|o),1040
simple,(s|i|m)-(pl|e),1035
grupoj,(gr|u)-(p|o|j),1031
komuna,(k|o)-(m|u)-(n|a),1027
diru,(d|i)-(r|u),1027
sekureco,(s|e)-(k|u)-(r|e)-(c|o),1025
konferenco,(k|o|n)-(f|e)-(r|e|n)-(c|o),1025
ĝenerale,(ĝ|e)-(n|e)-(r|a)-(l|e),1025
opinias,(∅|o)-(p|i)-(n|i)-(∅|a|s),1024
jare,(j|a)-(r|e),1021
laboristoj,(l|a)-(b|o)-(r|i|s)-(t|o|j),1019
cent,(c|e|nt),1015
forta,(f|o|r)-(t|a),1012
asocioj,(∅|a)-(s|o)-(c|i)-(∅|o|j),1011
vojon,(v|o)-(j|o|n),1009
vivas,(v|i)-(v|a|s),1008
mal_nova,(m|a|l)-(n|o)-(v|a),1007
faros,(f|a)-(r|o|s),1007
iun,(∅|i)-(∅|u|n),1004
rekte,(r|e|k)-(t|e),1004
kredas,(kr|e)-(d|a|s),1003
okulojn,(∅|o)-(k|u)-(l|o|jn),1001
flanko,(fl|a|n)-(k|o),999
jesuo,(j|e)-(s|u)-(∅|o),996
fama,(f|a)-(m|a),994
naskiĝis,(n|a|s)-(k|i)-(ĝ|i|s),994
oficejo,(∅|o)-(f|i)-(c|e)-(j|o),993
atingis,(∅|a)-(t|i|n)-(g|i|s),993
pensas,(p|e|n)-(s|a|s),991
literaturo,(l|i)-(t|e)-(r|a)-(t|u)-(r|o),990
rolon,(r|o)-(l|o|n),989
monon,(m|o)-(n|o|n),988
aŭgusto,(∅|a|ŭ)-(g|u|s)-(t|o),986
sentis,(s|e|n)-(t|i|s),984
kultura,(k|u|l)-(t|u)-(r|a),980
miajn,(m|i)-(∅|a|jn),979
israelo,(∅|i|s)-(r|a)-(∅|e)-(l|o),977
ligo,(l|i)-(g|o),977
ondo,(∅|o|n)-(d|o),976
ĉambro,(ĉ|a|m)-(br|o),975
ĉiun,(ĉ|i)-(∅|u|n),973
japanio,(j|a)-(p|a)-(n|i)-(∅|o),970
junio,(j|u)-(n|i)-(∅|o),969
lokaj,(l|o)-(k|a|j),969
fojon,(f|o)-(j|o|n),968
maro,(m|a)-(r|o),965
eliris,(∅|e)-(l|i)-(r|i|s),965
organizaĵoj,(∅|o|r)-(g|a)-(n|i)-(z|a)-(ĵ|o|j),963
sekretario,(s|e|k)-(r|e)-(t|a)-(r|i)-(∅|o),963
apartenas,(∅|a)-(p|a|r)-(t|e)-(n|a|s),963
parton,(p|a|r)-(t|o|n),961
helpi,(h|e|l)-(p|i),959
pol_lando,(p|o|l)-(l|a|n)-(d|o),957
prezentas,(pr|e)-(z|e|n)-(t|a|s),956
februaro,(f|e|b)-(r|u)-(∅|a)-(r|o),955
ministro,(m|i)-(n|i|s)-(tr|o),954
ŝiaj,(ŝ|i)-(∅|a|j),952
tempon,(t|e|m)-(p|o|n),951
eniris,(∅|e)-(n|i)-(r|i|s),951
faru,(f|a)-(r|u),951
aprilo,(∅|a|p)-(r|i)-(l|o),950
vidu,(v|i)-(d|u),950
postulas,(p|o|s)-(t|u)-(l|a|s),942
meze,(m|e)-(z|e),940
sinjorino,(s|i|n)-(j|o)-(r|i)-(n|o),935
foto,(f|o)-(t|o),935
metis,(m|e)-(t|i|s),935
vorton,(v|o|r)-(t|o|n),933
amiko,(∅|a)-(m|i)-(k|o),933
monatoj,(m|o)-(n|a)-(t|o|j),928
pastro,(p|a|s)-(tr|o),927
organizaĵo,(∅|o|r)-(g|a)-(n|i)-(z|a)-(ĵ|o),924
liajn,(l|i)-(∅|a|jn),923
periodo,(p|e)-(r|i)-(∅|o)-(d|o),921
nomata,(n|o)-(m|a)-(t|a),921
komprenis,(k|o|m)-(pr|e)-(n|i|s),921
frato,(fr|a)-(t|o),917
raporto,(r|a)-(p|o|r)-(t|o),915
moseo,(m|o)-(s|e)-(∅|o),913
akceptis,(∅|a|k)-(c|e|p)-(t|i|s),909
skribis,(skr|i)-(b|i|s),908
manojn,(m|a)-(n|o|jn),906
ŝian,(ŝ|i)-(∅|a|n),904
revenis,(r|e)-(v|e)-(n|i|s),904
fakto,(f|a|k)-(t|o),896
batalo,(b|a)-(t|a)-(l|o),893
gvidantoj,(gv|i)-(d|a|n)-(t|o|j),892
parizo,(p|a)-(r|i)-(z|o),891
venos,(v|e)-(n|o|s),890
okcidenta,(∅|o|k)-(c|i)-(d|e|n)-(t|a),887
gazeto,(g|a)-(z|e)-(t|o),886
plimulto,(pl|i)-(m|u|l)-(t|o),884
fariĝas,(f|a)-(r|i)-(ĝ|a|s),884
helpo,(h|e|l)-(p|o),882
trovas,(tr|o)-(v|a|s),879
banko,(b|a|n)-(k|o),878
asertas,(∅|a)-(s|e|r)-(t|a|s),878
danke,(d|a|n)-(k|e),878
sen_dube,(s|e|n)-(d|u)-(b|e),877
